Name	Formula	InChI	InChIKey	SMILES	ChEBI	KEGG	BioCyc	HMDB	LipidMaps	SwissLipids	Wikidata	PubChem	Metabolights	ChemSpider	BiGG	MetaNetX	Reactome	SEED
osas#24	C25H37NO11	InChI=1S/C25H37NO11/c1-14(3-6-18(28)11-23(32)33)35-25-19(29)12-21(15(2)36-25)37-24(34)10-9-22(31)26-13-20(30)16-4-7-17(27)8-5-16/h4-5,7-8,14-15,18-21,25,27-30H,3,6,9-13H2,1-2H3,(H,26,31)(H,32,33)/t14-,15+,18?,19-,20+,21-,25-/m1/s1	InChIKey=KUBUISSTUHRTDB-SGDVMEAASA-N	C[C@H](CCC(O)CC(O)=O)O[C@@H]1O[C@@H](C)[C@@H](C[C@H]1O)OC(=O)CCC(=O)NC[C@H](O)C1=CC=C(O)C=C1											NA	NA	NA	NA
osas#25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
osas#26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
osas#4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
osas#7	C25H35NO10	InChI=1S/C25H35NO10/c1-15(5-3-4-6-23(31)32)34-25-19(28)13-21(16(2)35-25)36-24(33)12-11-22(30)26-14-20(29)17-7-9-18(27)10-8-17/h4,6-10,15-16,19-21,25,27-29H,3,5,11-14H2,1-2H3,(H,26,30)(H,31,32)/b6-4+/t15-,16+,19-,20+,21-,25-/m1/s1	InChIKey=GLAJWVLBAUCJDN-ZGCTVWOSSA-N	C[C@H](CC\C=C\C(O)=O)O[C@@H]1O[C@@H](C)[C@@H](C[C@H]1O)OC(=O)CCC(=O)NC[C@H](O)C1=CC=C(O)C=C1											NA	NA	NA	NA
osas#91	C25H38N2O10	InChI=1S/C25H38N2O10/c1-15(3-8-22(32)26-11-12-28)35-25-19(30)13-21(16(2)36-25)37-24(34)10-9-23(33)27-14-20(31)17-4-6-18(29)7-5-17/h4-7,15-16,19-21,25,28-31H,3,8-14H2,1-2H3,(H,26,32)(H,27,33)/t15-,16+,19-,20+,21-,25-/m1/s1	InChIKey=RVTLCCJWGBEKNR-JJSORGMCSA-N	C[C@H](CCC(=O)NCCO)O[C@@H]1O[C@@H](C)[C@@H](C[C@H]1O)OC(=O)CCC(=O)NC[C@H](O)C1=CC=C(O)C=C1											NA	NA	NA	NA
osas#92	C28H45N2O15P	InChI=1S/C28H45N2O15P/c1-17(3-8-25(36)29-11-12-41-46(39,40)42-16-21(33)15-31)43-28-22(34)13-24(18(2)44-28)45-27(38)10-9-26(37)30-14-23(35)19-4-6-20(32)7-5-19/h4-7,17-18,21-24,28,31-35H,3,8-16H2,1-2H3,(H,29,36)(H,30,37)(H,39,40)/t17-,18?,21?,22?,23+,24-,28-/m1/s1	InChIKey=XRYQIGFZARWFJK-WYJOHKDKSA-N	C[C@H](CCC(=O)NCCOP(O)(=O)OCC(O)CO)O[C@@H]1OC(C)[C@@H](CC1O)OC(=O)CCC(=O)NC[C@H](O)C1=CC=C(O)C=C1											NA	NA	NA	NA
puglas#1	C30H47N5O10S	InChI=1S/C30H47N5O10S/c1-15(2)10-11-31-26-22-27(34-30(33-26)46-5)35(14-32-22)28-25(41)24(40)23(39)20(45-28)13-42-21(38)9-7-6-8-16(3)43-29-19(37)12-18(36)17(4)44-29/h10,14,16-20,23-25,28-29,36-37,39-41H,6-9,11-13H2,1-5H3,(H,31,33,34)/t16-,17+,18-,19-,20-,23-,24+,25-,28-,29-/m1/s1	InChIKey=BSILTKSNLMDNPT-UFZIYGNVSA-N	CSC1=NC2=C(N=CN2[C@@H]2O[C@H](COC(=O)CCCC[C@@H](C)O[C@@H]3O[C@@H](C)[C@H](O)C[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)C(NCC=C(C)C)=N1											NA	NA	NA	NA
puglas#3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
puglas#7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uglas#1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uglas#11	C24H37N4O16P	InChI=1S/C24H37N4O16P/c1-9(41-22-12(30)7-11(29)10(2)42-22)5-3-4-6-14(31)40-8-13-16(32)18(44-45(37,38)39)17(33)21(43-13)28-19-15(25-24(28)36)20(34)27-23(35)26-19/h9-13,16-18,21-22,29-30,32-33H,3-8H2,1-2H3,(H,25,36)(H2,37,38,39)(H2,26,27,34,35)/t9-,10+,11-,12-,13-,16-,17-,18+,21-,22-/m1/s1	InChIKey=QEPVAPVMGBPUKK-AFBSBOHSSA-N	C[C@H](CCCCC(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H](OP(O)(O)=O)[C@@H]1O)N1C(=O)NC2=C1NC(=O)NC2=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O											NA	NA	NA	NA
uglas#3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
