Name	Formula	InChI	InChIKey	SMILES	ChEBI	KEGG	BioCyc	HMDB	LipidMaps	SwissLipids	Wikidata	PubChem	Metabolights	ChemSpider	BiGG	MetaNetX	Reactome	SEED
ascr#1	C13H24O6	InChI=1S/C13H24O6/c1-8(5-3-4-6-12(16)17)18-13-11(15)7-10(14)9(2)19-13/h8-11,13-15H,3-7H2,1-2H3,(H,16,17)/t8-,9+,10-,11-,13-/m1/s1	KBTQMAFDKPKMEJ-UYNYGYNWSA-N	C[C@H](CCCCC(O)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O	CHEBI:78786				LMFA13040002		Q27147958	11471380		9646210	NA	NA	NA	NA
ascr#2	C12H22O5	InChI=1S/C12H22O5/c1-7(13)4-5-8(2)16-12-11(15)6-10(14)9(3)17-12/h8-12,14-15H,4-6H2,1-3H3/t8-,9+,10-,11-,12-/m1/s1	KDIFLHQRDPSWHT-IYKVGLELSA-N	C[C@H](CCC(C)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O	CHEBI:78812				LMFA13040003		Q27147971	16066475		17226058	NA	NA	NA	NA
ascr#3	C15H26O6	InChI=1S/C15H26O6/c1-10(7-5-3-4-6-8-14(18)19)20-15-13(17)9-12(16)11(2)21-15/h6,8,10-13,15-17H,3-5,7,9H2,1-2H3,(H,18,19)/b8-6+/t10-,11+,12-,13-,15-/m1/s1	MWGRRKDIJLJLMO-OSYKULTDSA-N	C[C@H](CCCC\C=C\C(O)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O	CHEBI:78821				LMFA13040004		Q27147975	16066476		17226059	NA	NA	NA	NA
ascr#5	C9H16O6	InChI=1S/C9H16O6/c1-5-6(10)4-7(11)9(15-5)14-3-2-8(12)13/h5-7,9-11H,2-4H2,1H3,(H,12,13)/t5-,6+,7+,9+/m0/s1	RYYMJVGKZLQYPG-YYWONIAYSA-N	C[C@@H]1O[C@@H](OCCC(O)=O)[C@H](O)C[C@H]1O	CHEBI:78829				LMFA13040005		Q27147980	44202063		26394943	NA	NA	NA	NA
ascr#6.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ascr#6.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ascr#7	C13H22O6	InChI=1S/C13H22O6/c1-8(5-3-4-6-12(16)17)18-13-11(15)7-10(14)9(2)19-13/h4,6,8-11,13-15H,3,5,7H2,1-2H3,(H,16,17)/b6-4+/t8-,9+,10-,11-,13-/m1/s1	GGHOMCWJOMBZEK-LHYQPRBASA-N	C[C@H](CC\C=C\C(O)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O	CHEBI:78830				LMFA13040006		Q27147981	86289656		31150600	NA	NA	NA	NA
ascr#8	C20H27NO7	InChI=1S/C20H27NO7/c1-12(27-20-17(23)11-16(22)13(2)28-20)5-3-4-6-18(24)21-15-9-7-14(8-10-15)19(25)26/h4,6-10,12-13,16-17,20,22-23H,3,5,11H2,1-2H3,(H,21,24)(H,25,26)/b6-4+/t12-,13+,16-,17-,20-/m1/s1	WMKIQPAVTRWYKZ-XPUFHXNMSA-N	C[C@H](CC\C=C\C(=O)Nc1ccc(cc1)C(O)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O	CHEBI:78834				LMFA13040154		Q27147985	86289660		31150602	NA	NA	NA	NA
